Time	[X_25,1]	[X_25,2]	[X_25,3]	[X_25,4]	[X_25,5]	[X_25,6]	[X_25,7]	[X_25,8]	[X_25,9]	[X_25,10]	[X_25,11]	[X_25,12]	[X_25,13]	[X_25,14]	[X_25,15]	[X_25,16]	[X_25,17]	[X_25,18]	[X_25,19]	[X_25,20]	[X_25,21]	[X_25,22]	[X_25,23]	[X_25,24]	[X_25,25]	[X_25,26]	[X_25,27]	[X_25,28]	[X_25,29]	[X_25,30]	[X_25,31]	[X_25,32]	[X_25,33]	[X_25,34]	[X_25,35]	[X_25,36]	[X_25,37]	[X_25,38]	[X_25,39]	[X_25,40]	[X_25,41]	[X_25,42]	[X_25,43]	[X_25,44]	[X_25,45]	[X_25,46]	[X_25,47]	[X_25,48]	[X_25,49]
700	32.2864	34.7004	35.6698	40.4727	30.4173	33.6196	38.668	43.675	45.0262	31.6903	36.3491	0.604575	2.46299	4.11837	5.64213	7.10242	8.49992	9.86438	11.218	12.5163	13.7946	14.9619	16.1071	17.1107	17.7989	17.1318	16.1696	14.9781	13.8561	12.5718	11.2239	9.86657	8.49927	7.08965	5.63266	4.10552	2.47337	0.605197	37.107	32.0022	46.8064	44.6846	38.7641	35.0879	30.0801	26.478	23.1829	20.6165	19.6979
700.5	32.4717	34.9026	35.8545	40.7375	31.0579	34.234	39.3348	44.3944	45.7973	32.8323	0.665904	2.72888	4.5433	6.23394	7.84975	9.4211	10.9061	12.377	13.8533	15.2333	16.5774	17.7693	18.9709	20.0479	20.7804	20.0809	19.0856	17.7955	16.6612	15.2949	13.8377	12.3815	10.9234	9.40375	7.84844	6.23416	4.54902	2.72845	0.665434	33.1766	47.6716	45.4607	39.4442	35.7856	30.7172	27.0788	23.7264	21.1148	20.2069
701	32.6513	35.0986	36.0323	40.9924	31.6838	34.8279	39.9688	45.0192	45.9173	0.401103	2.66507	4.72219	6.61776	8.4074	10.153	11.8528	13.4247	15.0007	16.5992	18.0517	19.4519	20.6539	21.9073	23.0604	23.8423	23.1057	22.0781	20.6875	19.5577	18.1184	16.5571	15.0083	13.4655	11.8315	10.1642	8.42715	6.62098	4.72209	2.66627	0.379066	47.897	46.1464	40.0923	36.4644	31.3399	27.6682	24.26	21.6038	20.7073
701.5	32.8253	35.2883	36.203	41.2372	32.2945	35.3971	40.5217	23.9322	0.834101	2.06641	4.56941	6.72818	8.74663	10.6575	12.5448	14.3758	16.025	17.7	19.4179	20.9332	22.3799	23.5788	24.8802	26.1123	26.9466	26.1704	25.1119	23.6181	22.5087	21.0043	19.344	17.7108	16.0938	14.3499	12.5724	10.7037	8.74966	6.73236	4.57557	2.08229	0.847964	8.65113	40.6596	37.1203	31.9477	28.246	24.7834	22.0834	21.1991
702	32.9938	35.4718	36.3668	41.4704	32.8829	35.8261	0.221046	1.26138	2.36194	3.76148	6.41392	8.75777	10.9325	12.9692	14.9997	16.9591	18.6737	20.441	22.2757	23.8449	25.3296	26.5134	27.8598	29.1736	30.0622	29.2454	28.1582	26.5576	25.4832	23.9203	22.1649	20.4549	18.7747	16.9277	15.0472	13.0486	10.9369	8.76889	6.42732	3.77006	2.36324	1.28335	0.243301	37.6277	32.5338	28.8118	25.2969	22.5537	21.6825
702.5	33.1569	35.6491	36.5213	41.6699	33.3214	0.275806	1.46093	2.59538	3.83888	5.44556	8.27137	10.8126	13.1551	15.317	17.49	19.574	21.3422	23.1956	25.1457	26.7611	28.2765	29.4336	30.8222	32.2204	33.1639	32.3068	31.1935	29.4822	28.4568	26.8408	24.993	23.2125	21.4795	19.5359	17.5608	15.4363	13.1617	10.8327	8.29489	5.4494	3.83532	2.61075	1.49518	0.284861	32.9656	29.3567	25.7995	23.0147	22.1573
703	33.3142	35.8176	36.6477	41.645	30.6977	1.38168	2.66826	3.92939	5.35022	7.16036	10.1603	12.8892	15.3959	17.6779	19.9919	22.1973	24.0081	25.9425	28.0074	29.6622	31.2013	32.3202	33.7479	35.2328	36.231	35.3352	34.1994	32.3731	31.4108	29.7464	27.8079	25.9624	24.1857	22.1514	20.0892	17.8433	15.4055	12.9206	10.1989	7.16459	5.35028	3.94409	2.69617	1.41204	30.4291	29.806	26.2842	23.4656	22.6237
703.5	33.4639	35.9669	36.6718	6.58293	0.926901	2.502	3.88578	5.3028	6.90723	8.90803	12.0757	14.9781	17.6402	20.0343	22.4875	24.8115	26.6547	28.6655	30.8454	32.533	34.0888	35.1568	36.6199	38.1933	39.2449	38.3132	37.1595	35.214	34.3302	32.6219	30.5941	28.6885	26.8768	24.7567	22.6146	20.252	17.6535	15.0236	12.1348	8.91694	6.9165	5.32021	3.91231	2.53959	0.916876	29.7696	26.7268	23.9031	23.081
704	33.5956	36.0123	12.8231	0.866894	1.91287	3.58884	5.12667	6.71596	8.49931	10.6775	14.0054	17.0685	19.8763	22.3736	24.9639	27.4039	29.2694	31.3522	33.6476	35.3611	36.9256	37.9281	39.4212	41.0842	42.1865	41.2235	40.0584	37.9897	37.2018	35.4549	33.339	31.3785	29.5404	27.3392	25.1238	22.6497	19.894	17.1309	14.0897	10.6942	8.52218	6.73947	5.15557	3.64551	1.94824	28.8584	27.0769	24.3193	23.5273
704.5	33.6142	32.5769	0.829045	1.73147	2.87975	4.67745	6.38389	8.1531	10.1106	12.4554	15.937	19.1508	22.0954	24.6868	27.4117	29.965	31.8422	33.9921	36.4032	38.1347	39.6983	40.6174	42.1328	43.8851	45.0333	44.046	42.8786	40.6836	40.0128	38.2337	36.0317	34.0222	32.1669	29.8894	27.6077	25.0273	22.1182	19.2325	16.0509	12.4824	10.151	8.18642	6.42238	4.77845	2.99303	28.4153	27.3678	24.7104	23.9602
